Eselon 1,Tempat tinggal,hari bekerja non WFH per bulannya,hari ideal bekerja non WFH seminggu,Lokasi melaksanakan WFH,lama bekerja ketika WFH sehari,jumlah rapat online paralel (multi zoom) sehari,improve-gaya komunikasi atasan,improve-sarana prasarana pendukung kerja,improve-pengaturan jam kerja,improve-beban kerja,improve-pengelolaan kinerja pegawai,adv-manajemen keuangan lebih baik,adv-fokus meningkatkan kompetensi,adv-kesempatan belajar,adv-hubungan dg rekan kerja lebih baik,adv-komunikasi dg keluarga dekat lebih baik,adv-quality time dg keluarga inti,adv-terlibat dengan komunitas,adv-lebih mengenal lingkungan tempat tinggal,adv-waktu menekuni hobi,adv-kualitas ibadah / kehidupan spiritual,adv-pola hidup lebih sehat,harapan peningkatan implementasi FWS,gender,age,masa_kerja_tahun,masa_kerja_bulan,kode_wilayah_ktp
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,-,wanita,35,14,1,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Netral,Netral,Netral,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,tetap dipertahankan pola FWS yang ada,pria,53,31,3,327601
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,< 6 jam 25 menit,< 2 ,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Tidak Setuju,Tidak Setuju,Setuju,FWS dapat dilaksanakan sesuai tugas pegawai ,pria,47,27,10,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Netral,Setuju,Netral,Setuju,Sangat Setuju,Netral,Setuju,Setuju,Setuju,Setuju,"Semoga bukan cuma FWS saja, tapi Jumlah Working Hour bulanan juga disesuaikan lebih seturut standar internasional.. ",wanita,40,19,0,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Netral,Setuju,Setuju,Sangat Setuju,Setuju,"Tetap menjaga pencapaian kinerja organisasi dan Work Life Balance



",pria,51,29,12,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Satelite Office  ,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,FWS dilanjutkan,pria,37,12,11,
Sekretariat Jenderal,Kos,di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,"Agar pengaturan jam kerja selama FWS dapat diperbaiki, karena apda kenyataannya pada saat FWS jam kerja menjadi sangat tidak terbatas.",wanita,24,2,12,
Sekretariat Jenderal,Menumpang (orangtua/ saudara/lainnya),di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,-,wanita,21,2,0,
Sekretariat Jenderal,Kontrak,di bawah 10 hari kerja,4 hari,Tempat lain,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Setuju,Netral,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Semoga FWS di Kemenkeu terlaksana dengan baik karena FWS memberikan dampak yang baik dari segi diri sendiri dan organisasi ..............................................................................hjguyguyfuyfdydstrsrd Semoga FWS di Kemenkeu terlaksana dengan baik karena FWS memberikan dampak yang baik dari segi diri sendiri dan organisasi ..............................................................................hjguyguyfuyfdydstrsrdSemoga FWS di Kemenkeu terlaksana dengan baik karena FWS memberikan dampak yang baik dari segi diri sendiri dan organisasi ..............................................................................hjguyguyfuyfdydstrsrd,wanita,31,6,9,
Sekretariat Jenderal,Kos,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,,pria,25,5,11,
